ambushID,wolf,trailLength,season,ambushDate
BHA_1102,V084,21,Fall,10/13/20
BHA_1105,V083,43,Fall,10/14/20
BHA_1106,V077,23,Fall,10/13/20
BHA_1107,V085,23,Fall,10/13/20
BHA_1108,V071,17,Fall,10/14/20
BHA_1113,V095,11,Fall,10/13/20
BHA_1115,V095,13,Fall,10/14/20
BHA_1116,V095,3,Fall,10/14/20
BHA_1121,V077,15,Fall,10/19/20
BHA_1122,V071,12,Fall,10/19/20
BHA_1123,V085,6,Fall,9/29/20
BHA_1128,V094,11,Fall,10/19/20
BHA_1129,V071,43,Fall,10/24/20
BHA_1130,V071,34,Fall,10/25/20
BHA_1133,V095,8,Fall,10/20/20
BHA_1135,V095,10,Fall,10/27/20
BHA_1137,V083,17,Fall,10/28/20
BHA_1138,V084,17,Fall,10/28/20
BHA_1139,V083,19,Fall,10/28/20
BHA_1142,V071,40,Spring,4/19/21
BHA_1143,V071,44,Spring,4/21/21
BHA_1144,V071,43,Spring,4/19/21
BHA_1146,V071,11,Spring,4/18/21
BHA_1149,V071,12,Spring,4/23/21
BHA_1150,V071,40,Spring,4/17/21
BHA_1151,V094,23,Spring,4/26/21
BHA_1156,V071,15,Spring,4/26/21
BHA_1158,V071,55,Spring,5/2/21
BHA_1159,V071,55,Spring,4/27/21
BHA_1168,O0C,24,Spring,5/13/21
BHA_1179,V071,20,Spring,5/26/21
BHA_1181,O0C,15,Spring,5/31/21
BHA_1182,O0C,20,Spring,5/26/21
BHA_1185,O0C,8.5,Spring,6/1/21
BHA_1189,O0C,9,Spring,6/13/21
BHA_1194,V079,35,Spring,6/18/21
BHA_1197,V079,8,Summer,6/25/21
BHA_1198,W0C,10,Summer,7/7/21
BHA_1199,P0C,18,Summer,7/2/21
BHA_1200,V079,13,Summer,7/12/21
BHA_1201,V079,20,Summer,7/13/21
BHA_1202,P0C,21,Summer,7/2/21
BHA_1203,V071,9,Summer,7/9/21
BHA_1206,O0C,12,Summer,7/8/21
BHA_1208,O0C,7,Summer,7/17/21
BHA_1209,O0C,5,Summer,7/13/21
BHA_1211,V079,30,Summer,7/24/21
BHA_1214,V079,18,Summer,7/23/21
BHA_1215,V079,30.5,Summer,7/30/21
BHA_1216,V079,30.5,Summer,7/31/21
BHA_1219,V071,12,Summer,7/26/21
BHA_1220,V071,10.5,Summer,7/15/21
BHA_1222,P0C,58,Summer,7/31/21
BHA_1223,P0C,21,Summer,8/2/21
BHA_1224,V079,30,Summer,8/1/21
BHA_1225,V079,21,Summer,8/4/21
BHA_1226,V079,45,Summer,8/7/21
BHA_1227,V079,47,Summer,8/7/21
BHA_1228,V071,57,Summer,8/5/21
BHA_1229,V071,37,Summer,8/6/21
BHA_1230,V071,30,Summer,8/7/21
BHA_1231,V071,23,Summer,8/6/21
BHA_1232,V071,13,Summer,8/9/21
BHA_1233,V071,15,Summer,8/5/21
BHA_1234,V071,4,Summer,8/5/21
BHA_1235,V071,27,Summer,8/6/21
BHA_1237,O0C,45,Summer,8/7/21
BHA_1241,P0C,31,Summer,8/12/21
BHA_1242,V094,15,Summer,8/6/21
BHA_1243,V094,15,Summer,8/10/21
BHA_1244,V094,26,Summer,8/13/21
BHA_1245,V079,30,Summer,8/12/21
BHA_1246,V079,60,Summer,8/11/21
BHA_1247,V079,18,Summer,8/13/21
BHA_1249,V079,16,Summer,8/12/21
BHA_1250,V079,18.25,Summer,8/13/21
BHA_1251,P0C,65,Summer,7/28/21
BHA_1252,P0C,25,Summer,8/15/21
BHA_1253,V079,50,Summer,8/9/21
BHA_1254,V071,21,Summer,8/14/21
BHA_1255,V071,56,Summer,8/12/21
BHA_1256,V071,56,Summer,8/17/21
BHA_1257,V071,10,Summer,8/15/21
BHA_1263,V071,20,Summer,8/11/21
BHA_1264,V071,22.5,Summer,8/15/21
BHA_1265,V071,17,Summer,8/18/21
BHA_1268,V071,63,Summer,8/20/21
BHA_1269,O0C,19,Summer,8/14/21
BHA_1272,O0C,15,Summer,8/16/21
BHA_1273,O0C,63,Summer,8/16/21
BHA_1275,O0C,20,Summer,8/18/21
BHA_1276,O0C,37,Summer,8/14/21
BHA_1277,O0C,49,Summer,8/17/21
BHA_1278,O0C,11,Summer,8/12/21
BHA_1281,O0C,17.5,Summer,8/14/21
BHA_1286,V094,10,Summer,8/22/21
BHA_1287,V094,12,Summer,8/14/21
BHA_1288,P0C,15,Summer,8/17/21
BHA_1289,P0C,23.5,Summer,8/25/21
BHA_1290,P0C,56,Summer,8/30/21
BHA_1292,P0C,33,Summer,8/21/21
BHA_1293,P0C,10,Summer,8/18/21
BHA_1294,P0C,41,Summer,8/20/21
BHA_1295,P0C,41,Summer,8/15/21
BHA_1296,P0C,31,Summer,8/15/21
BHA_1298,P0C,16,Summer,8/15/21
BHA_1302,P0C,35,Summer,8/20/21
BHA_1304,V079,12,Summer,8/16/21
BHA_1305,V079,34,Summer,8/23/21
BHA_1308,V079,19,Summer,8/25/21
BHA_1309,V079,19,Summer,8/30/21
BHA_1310,V079,26,Summer,8/26/21
BHA_1311,V079,45,Summer,8/29/21
BHA_1313,V079,40,Summer,8/22/21
BHA_1314,V079,21,Summer,8/28/21
BHA_1315,V079,69,Summer,8/28/21
BHA_1316,V079,29,Summer,8/27/21
BHA_1317,V079,38,Summer,8/29/21
BHA_1318,W0C,36,Summer,8/20/21
BHA_1319,V071,35,Summer,8/27/21
BHA_1321,V071,22,Summer,8/28/21
BHA_1322,V071,22,Summer,9/1/21
BHA_1323,V071,40,Summer,8/21/21
BHA_1324,V071,12.5,Summer,8/23/21
BHA_1325,V071,12.5,Summer,8/29/21
BHA_1326,V071,19,Summer,8/29/21
BHA_1327,V071,37.5,Summer,8/29/21
BHA_1328,V071,22,Summer,8/28/21
BHA_1329,P0C,10,Summer,8/20/21
BHA_1330,P0C,8,Summer,8/17/21
BHA_1331,V071,14.5,Summer,8/31/21
BHA_1333,O0C,23,Summer,9/2/21
BHA_1336,O0C,26,Summer,8/27/21
BHA_1337,O0C,9,Summer,8/31/21
BHA_1339,O0C,67.25,Summer,9/2/21
BHA_1342,V094,30,Summer,8/29/21
BHA_1343,P0C,8,Summer,9/6/21
BHA_1346,P0C,34,Summer,9/8/21
BHA_1347,P0C,35,Summer,9/5/21
BHA_1348,P0C,39.5,Summer,9/5/21
BHA_1349,P0C,12,Summer,9/5/21
BHA_1350,P0C,23,Summer,9/5/21
BHA_1351,P0C,68,Summer,9/5/21
BHA_1352,V079,53,Summer,9/2/21
BHA_1353,V079,62,Summer,9/1/21
BHA_1354,V079,47,Summer,9/7/21
BHA_1355,V079,62,Summer,9/7/21
BHA_1356,V079,18,Summer,9/2/21
BHA_1357,V079,59,Summer,9/2/21
BHA_1358,V071,51,Summer,9/3/21
BHA_1359,V071,39,Summer,9/7/21
BHA_1360,V071,25,Summer,9/1/21
BHA_1361,V071,25,Summer,9/1/21
BHA_1362,V071,39,Summer,9/3/21
BHA_1364,V071,19,Summer,9/5/21
BHA_1365,V071,13,Summer,9/5/21
BHA_1367,P0C,33.25,Summer,8/30/21
BHA_1368,P0C,42,Summer,8/30/21
BHA_1370,V079,40,Summer,9/7/21
BHA_1372,O0C,8,Summer,9/14/21
BHA_1373,O0C,52,Summer,9/10/21
BHA_1374,O0C,28,Summer,9/10/21
