FT_ID,lodgeNumber,lodgeType,year,trailLength,season
2985_FT29,2985,Pond,2017,15,summerStatus
2985_FT30,2985,Pond,2017,11,summerStatus
2985_FT31,2985,Pond,2017,7,summerStatus
2985_FT32,2985,Pond,2017,11,summerStatus
2985_FT33,2985,Pond,2017,11,summerStatus
303_FT02,303,Pond,2017,12,summerStatus
303_FT08,303,Pond,2017,6,summerStatus
303_FT09,303,Pond,2017,8,summerStatus
303_FT10,303,Pond,2017,14,summerStatus
303_FT11,303,Pond,2017,24,summerStatus
303_FT12,303,Pond,2017,15,summerStatus
2326_FT01,2326,Pond,2017,6,summerStatus
2326_FT02,2326,Pond,2017,7,summerStatus
2326_FT03,2326,Pond,2017,6,summerStatus
2326_FT05,2326,Pond,2017,10,summerStatus
2326_FT07,2326,Pond,2017,6,summerStatus
2326_FT12,2326,Pond,2017,6,summerStatus
2326_FT13,2326,Pond,2017,3,summerStatus
2326_FT17,2326,Pond,2017,7,summerStatus
2326_FT18,2326,Pond,2017,8,summerStatus
2326_FT19,2326,Pond,2017,5,summerStatus
2326_FT20,2326,Pond,2017,5,summerStatus
2326_FT23,2326,Pond,2017,4,summerStatus
2326_FT25,2326,Pond,2017,10,summerStatus
2326_FT28,2326,Pond,2017,4,summerStatus
2326_FT30,2326,Pond,2017,4,summerStatus
2326_FT31,2326,Pond,2017,9,summerStatus
2326_FT32,2326,Pond,2017,5,summerStatus
2326_FT33,2326,Pond,2017,4,summerStatus
2326_FT36,2326,Pond,2017,8,summerStatus
2326_FT52,2326,Pond,2017,6,summerStatus
2326_FT54,2326,Pond,2017,6,summerStatus
2326_FT56,2326,Pond,2017,4,summerStatus
2326_FT67,2326,Pond,2017,4,summerStatus
2326_FT68,2326,Pond,2017,6,summerStatus
2326_FT69,2326,Pond,2017,5,summerStatus
2326_FT74,2326,Pond,2017,6,summerStatus
2326_FT76,2326,Pond,2017,3,summerStatus
2326_FT78,2326,Pond,2017,7,summerStatus
2326_FT81,2326,Pond,2017,7,summerStatus
2326_FT117,2326,Pond,2017,6,summerStatus
2326_FT127,2326,Pond,2017,15,summerStatus
2326_FT128,2326,Pond,2017,11,summerStatus
2326_FT135,2326,Pond,2017,9,summerStatus
2326_FT138,2326,Pond,2017,12,summerStatus
2326_FT142,2326,Pond,2017,5,summerStatus
2326_FT146,2326,Pond,2017,4,summerStatus
2326_FT149,2326,Pond,2017,6,summerStatus
2326_FT155,2326,Pond,2017,28,summerStatus
2326_FT157,2326,Pond,2017,27,summerStatus
2326_FT160,2326,Pond,2017,27,summerStatus
2326_FT162,2326,Pond,2017,11,summerStatus
2326_FT168,2326,Pond,2017,8,summerStatus
2326_FT169,2326,Pond,2017,15,summerStatus
2326_FT170,2326,Pond,2017,12,summerStatus
2303_FT03,2303,Pond,2017,9,summerStatus
2303_FT05,2303,Pond,2017,7,summerStatus
2303_FT08,2303,Pond,2017,6,summerStatus
2303_FT09,2303,Pond,2017,6,summerStatus
2303_FT10,2303,Pond,2017,6,summerStatus
2303_FT14,2303,Pond,2017,8,summerStatus
2303_FT19,2303,Pond,2017,13,summerStatus
2303_FT25,2303,Pond,2017,7,summerStatus
2303_FT31,2303,Pond,2017,5,summerStatus
2303_FT36,2303,Pond,2017,2,summerStatus
2303_FT37,2303,Pond,2017,6,summerStatus
2303_FT38,2303,Pond,2017,9,summerStatus
2303_FT39,2303,Pond,2017,17,summerStatus
2303_FT41,2303,Pond,2017,4,summerStatus
2303_FT42,2303,Pond,2017,10,summerStatus
2303_FT43,2303,Pond,2017,6,summerStatus
2303_FT44,2303,Pond,2017,5,summerStatus
2303_FT45,2303,Pond,2017,11,summerStatus
1019_FT15,1019,Lake,2017,12,summerStatus
1019_FT22,1019,Lake,2017,8,summerStatus
1019_FT24,1019,Lake,2017,7,summerStatus
1019_FT29,1019,Lake,2017,5,summerStatus
1019_FT33,1019,Lake,2017,13,summerStatus
1019_FT36,1019,Lake,2017,9,summerStatus
1019_FT37,1019,Lake,2017,12,summerStatus
1019_FT42,1019,Lake,2017,8,summerStatus
1019_FT43,1019,Lake,2017,7,summerStatus
1019_FT44,1019,Lake,2017,11,summerStatus
1019_FT47,1019,Lake,2017,9,summerStatus
1019_FT48,1019,Lake,2017,17,summerStatus
1019_FT49,1019,Lake,2017,9,summerStatus
1019_FT51,1019,Lake,2017,15,summerStatus
1019_FT52,1019,Lake,2017,6,summerStatus
1019_FT53,1019,Lake,2017,4,summerStatus
1019_FT54,1019,Lake,2017,14,summerStatus
1019_FT55,1019,Lake,2017,8,summerStatus
1019_FT56,1019,Lake,2017,15,summerStatus
1019_FT59,1019,Lake,2017,6,summerStatus
1019_FT61,1019,Lake,2017,10,summerStatus
1019_FT63,1019,Lake,2017,12,summerStatus
1019_FT64,1019,Lake,2017,4,summerStatus
1019_FT65,1019,Lake,2017,7,summerStatus
1019_FT66,1019,Lake,2017,7,summerStatus
1019_FT67,1019,Lake,2017,8,summerStatus
1019_FT68,1019,Lake,2017,17,summerStatus
1019_FT69,1019,Lake,2017,11,summerStatus
1019_FT70,1019,Lake,2017,6,summerStatus
3550_FT02,3550,Lake,2017,10,summerStatus
3550_FT03,3550,Lake,2017,21,summerStatus
3550_FT04,3550,Lake,2017,44,summerStatus
3550_FT07,3550,Lake,2017,19,summerStatus
3550_FT11,3550,Lake,2017,16,summerStatus
3550_FT12,3550,Lake,2017,63,summerStatus
